ID,OPERACION,MSGID,CODIGO,TIEMPOMQ,TIPO,TiempoTransaccion
159,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B9C53,-22,8/05/2025 17:56,Resp,00:29
160,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B9C53,,8/05/2025 17:55,Req,
161,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13B45B7,0,8/05/2025 17:57,Resp,00:00
162,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13B45B7,,8/05/2025 17:57,Req,
163,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B4553,-22,8/05/2025 17:56,Resp,00:28
164,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B4553,,8/05/2025 17:55,Req,
165,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B4510,-22,8/05/2025 17:55,Resp,00:28
166,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13B4510,,8/05/2025 17:54,Req,
167,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13AD05E,-22,8/05/2025 17:56,Resp,00:28
168,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13AD05E,,8/05/2025 17:55,Req,
169,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13AD021,,8/05/2025 17:54,Resp,00:12
170,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13AD021,,8/05/2025 17:54,Req,
171,ConsultarEnviadasMonedaLocalACH_NIC,414D5120464C434F524D455342524B41680ED698A13AB137,,8/05/2025 17:55,Resp,00:21
172,ConsultarEnviadasMonedaLocalACH_NIC,414D5120464C434F524D455342524B41680ED698A13AB137,,8/05/2025 17:55,Req,
173,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5650,-22,8/05/2025 17:55,Resp,00:28
174,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5650,,8/05/2025 17:55,Req,
175,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13A52B2,-22,8/05/2025 17:57,Resp,00:28
176,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13A52B2,,8/05/2025 17:56,Req,
177,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5284,-22,8/05/2025 17:56,Resp,00:28
178,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5284,,8/05/2025 17:55,Req,
179,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5200,,8/05/2025 17:54,Resp,00:12
180,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13A5200,,8/05/2025 17:53,Req,
181,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A139E975,-22,8/05/2025 17:55,Resp,00:28
182,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A139E975,,8/05/2025 17:55,Req,
183,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1396E9F,-22,8/05/2025 17:56,Resp,00:28
184,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A1396E9F,,8/05/2025 17:55,Req,
185,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1396E18,-22,8/05/2025 17:54,Resp,00:28
186,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A1396E18,,8/05/2025 17:53,Req,
187,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138D552,-22,8/05/2025 17:55,Resp,00:28
188,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138D552,,8/05/2025 17:54,Req,
189,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A138C1A8,-22,8/05/2025 17:56,Resp,00:28
